2025-06-26 01:10:48 | INFO     | save_accounts        | Saved 5 accounts
2025-06-26 01:10:48 | INFO     | run_enhanced_facebook_automation | Starting automation with 5 accounts and 1 post URLs
2025-06-26 01:10:48 | INFO     | run_enhanced_facebook_automation | Accounts needing login: 5
2025-06-26 01:10:48 | INFO     | run_enhanced_facebook_automation | 🔐 LOGIN PHASE: Processing account 1/5: 61571921690396
2025-06-26 01:10:49 | DEBUG    | retry_with_backoff   | Attempt 1/3
2025-06-26 01:10:49 | INFO     | login_attempt        | === ENHANCED LOGIN ATTEMPT FOR: 61571921690396 ===
2025-06-26 01:10:54 | DEBUG    | human_like_delay     | Human-like delay: 1.52 seconds
2025-06-26 01:10:55 | INFO     | login_attempt        | Already logged in
2025-06-26 01:10:55 | INFO     | enhanced_login_to_facebook | ✅ LOGIN SUCCESS in 5.96s
2025-06-26 01:10:55 | INFO     | run_enhanced_facebook_automation | ✅ LOGIN SUCCESS for 61571921690396
2025-06-26 01:10:56 | INFO     | run_enhanced_facebook_automation | ⏳ Waiting 27.5s before next account...
2025-06-26 01:11:23 | INFO     | run_enhanced_facebook_automation | 🔐 LOGIN PHASE: Processing account 2/5: 61571930150364
2025-06-26 01:11:24 | DEBUG    | retry_with_backoff   | Attempt 1/3
2025-06-26 01:11:24 | INFO     | login_attempt        | === ENHANCED LOGIN ATTEMPT FOR: 61571930150364 ===
2025-06-26 01:11:25 | DEBUG    | human_like_delay     | Human-like delay: 2.21 seconds
2025-06-26 01:11:27 | INFO     | handle_facebook_security_challenges | Checking for security challenges on URL: https://www.facebook.com/
2025-06-26 01:11:27 | DEBUG    | human_like_delay     | Human-like delay: 1.13 seconds
2025-06-26 01:11:29 | DEBUG    | human_like_delay     | Human-like delay: 0.61 seconds
2025-06-26 01:11:33 | DEBUG    | human_like_delay     | Human-like delay: 2.70 seconds
2025-06-26 01:11:35 | INFO     | handle_facebook_security_challenges | Checking for security challenges on URL: https://www.facebook.com/
2025-06-26 01:11:36 | ERROR    | handle_facebook_security_challenges | Error handling security challenges: Locator.is_visible: Target page, context or browser has been closed
2025-06-26 01:11:36 | WARNING  | retry_with_backoff   | Attempt 1 failed: Locator.is_visible: Target page, context or browser has been closed. Retrying in 3.12s...
2025-06-26 01:11:39 | DEBUG    | retry_with_backoff   | Attempt 2/3
2025-06-26 01:11:39 | INFO     | login_attempt        | === ENHANCED LOGIN ATTEMPT FOR: 61571930150364 ===
2025-06-26 01:11:39 | WARNING  | retry_with_backoff   | Attempt 2 failed: Page.goto: Target page, context or browser has been closed. Retrying in 4.22s...
2025-06-26 01:11:43 | DEBUG    | retry_with_backoff   | Attempt 3/3
2025-06-26 01:11:43 | INFO     | login_attempt        | === ENHANCED LOGIN ATTEMPT FOR: 61571930150364 ===
2025-06-26 01:11:43 | ERROR    | retry_with_backoff   | All 3 attempts failed. Final error: Page.goto: Target page, context or browser has been closed
2025-06-26 01:11:43 | ERROR    | enhanced_login_to_facebook | ❌ LOGIN FAILED in 18.50s: Page.goto: Target page, context or browser has been closed
2025-06-26 01:11:43 | ERROR    | run_enhanced_facebook_automation | ❌ LOGIN FAILED for 61571930150364
2025-06-26 01:11:43 | INFO     | run_enhanced_facebook_automation | ⏳ Waiting 18.0s before next account...
2025-06-26 01:12:01 | INFO     | run_enhanced_facebook_automation | 🔐 LOGIN PHASE: Processing account 3/5: 61571919171009
2025-06-26 01:12:03 | DEBUG    | retry_with_backoff   | Attempt 1/3
2025-06-26 01:12:03 | INFO     | login_attempt        | === ENHANCED LOGIN ATTEMPT FOR: 61571919171009 ===
2025-06-26 01:12:03 | DEBUG    | human_like_delay     | Human-like delay: 2.53 seconds
2025-06-26 01:12:06 | WARNING  | main                 | ⚠️ Script interrupted by user
2025-06-26 01:12:06 | INFO     | load_accounts        | Loaded 5 accounts
2025-06-26 01:12:06 | INFO     | main                 | 🔚 Script finished
2025-06-26 01:12:25 | INFO     | load_accounts        | Loaded 12 accounts
2025-06-26 01:12:25 | INFO     | load_urls            | Loaded 4 saved post URLs
2025-06-26 01:12:25 | INFO     | run_enhanced_facebook_automation | Starting automation with 12 accounts and 4 post URLs
2025-06-26 01:12:25 | INFO     | run_enhanced_facebook_automation | Accounts needing login: 0
2025-06-26 01:12:25 | INFO     | run_enhanced_facebook_automation | Post tasks to process: 0
2025-06-26 01:12:25 | INFO     | run_enhanced_facebook_automation | 🏁 AUTOMATION COMPLETED
2025-06-26 01:12:25 | INFO     | run_enhanced_facebook_automation | Total login attempts: 12
2025-06-26 01:12:25 | INFO     | run_enhanced_facebook_automation | Successful logins: 2
2025-06-26 01:12:25 | INFO     | run_enhanced_facebook_automation | Failed logins: 10
2025-06-26 01:12:25 | INFO     | run_enhanced_facebook_automation | Processed posts: 8
2025-06-26 01:12:25 | INFO     | load_accounts        | Loaded 12 accounts
2025-06-26 01:12:25 | INFO     | main                 | 🔚 Script finished
